Περιοχή,ΤΚ,"Νέες συνδέσεις","Μήνας σύνδεσης"
ΚΟΥΚΑΚΙ,11742,4,01/2024
ΚΟΥΦΟΥ,18900,1,01/2024
ΚΡΗΝΗ,18453,2,01/2024
ΚΥΘΗΡΙΩΝ,17456,1,01/2024
ΚΥΝΟΣΑΡΓΟΥΣ,11743,1,01/2024
ΚΥΝΟΣΑΡΓΟΥΣ,11744,1,01/2024
ΛΑΘΕΑ,13674,2,01/2024
ΛΑΘΕΑ,13678,1,01/2024
"ΛΑΚΚΑ ΒΑΒΟΥΛΑ",18532,9,01/2024
ΛΑΜΠΡΙΝΗ,11142,2,01/2024
ΛΑΧΑΝΑΓΟΡΑ,18346,1,01/2024
ΛΥΚΟΤΡΥΠΑ,13671,1,01/2024
ΜΑΝΙΑΤΙΚΑ,18450,2,01/2024
ΜΑΝΙΑΤΙΚΑ,18546,1,01/2024
ΜΑΡΟΥΣΙ,15122,3,01/2024
ΜΑΡΟΥΣΙ,15124,7,01/2024
ΜΑΡΟΥΣΙ,15126,1,01/2024
"ΜΕΓ. ΣΧΙΝΑ",13679,1,01/2024
ΜΕΛΙΣΣΙΑ,15127,2,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,14451,4,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,14452,1,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,16231,7,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,16232,5,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,18344,2,01/2024
ΜΕΤΑΜΟΡΦΩΣΗ,18345,2,01/2024
ΜΙΧΕΛΗ,13123,5,01/2024
ΜΟΣΧΑΤΟ,18345,1,01/2024
ΜΟΥΣΕΙΟ,10683,1,01/2024
ΜΠΟΥΡΝΑΖΙ,12133,2,01/2024
"Ν. ΟΛΥΜΠΙΑ",13451,1,01/2024
"ΝΕΑ ΙΩΝΙΑ",14231,1,01/2024
"ΝΕΑ ΙΩΝΙΑ",14234,1,01/2024
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,1,01/2024
"ΝΕΑ ΠΕΡΑΜΟΣ",19006,5,01/2024
"ΝΕΑ ΣΜΥΡΝΗ",17122,5,01/2024
"ΝΕΑ ΣΜΥΡΝΗ",17124,7,01/2024
"ΝΕΑ ΦΙΛΟΘΕΗ",11524,3,01/2024
"ΝΕΑ ΧΑΛΚΗΔΟΝΑ",14343,1,01/2024
ΝΕΑΠΟΛΗ,14232,1,01/2024
ΝΕΑΠΟΛΗ,18452,6,01/2024
"ΝΕΟ ΨΥΧΙΚΟ",15451,4,01/2024
ΝΕΟΚΤΙΣΤΑ,19300,1,01/2024
"ΝΕΟΣ ΚΟΣΜΟΣ",11744,1,01/2024
ΝΤΑΜΑΡΑΚΙΑ,12241,1,01/2024
ΝΤΑΜΑΡΑΚΙΑ,12244,2,01/2024
"ΟΣΙΑ ΞΕΝΗ",18453,1,01/2024
"Π. ΚΟΚΚΙΝΙΑ",18542,3,01/2024
ΠΑΓΚΡΑΤΙ,11633,2,01/2024
ΠΑΓΚΡΑΤΙ,11634,17,01/2024
ΠΑΓΚΡΑΤΙ,16232,12,01/2024
"ΠΑΙΔΙΚΗ ΣΤΕΓΗ",18454,1,01/2024
"ΠΑΛ. ΜΕΝΙΔΙ",13674,1,01/2024
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17561,1,01/2024
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17562,9,01/2024
ΠΑΛΑΤΙΑΝΗ,13121,6,01/2024
ΠΑΛΙΑΓΙΑΝΝΗ,14562,1,01/2024
ΠΑΝΟΡΑΜΑ,16673,1,01/2024
ΠΑΠΑΓΟΣ,15669,8,01/2024
ΠΑΡΑΔΕΙΣΟΣ,15125,4,01/2024
ΠΑΡΑΛΙΑ,19010,1,01/2024
ΠΑΤΗΜΑ,15238,4,01/2024
"ΠΕΔΙΟΝ ΑΡΕΩΣ",11474,1,01/2024
ΠΕΝΤΕΛΗ,15236,1,01/2024
ΠΕΡΙΒΟΛΑΚΙ,18454,1,01/2024
ΠΕΡΙΣΣΟΣ,14232,1,01/2024
